text,imageURN,folioReference
urn:cts:greekLit:tlg5026.msA:8.237,"urn:cite:hmt:vaimg.VA107VN-0610@0.182,0.3094,0.2036,0.0607",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.238,"urn:cite:hmt:vaimg.VA107VN-0610@0.1676,0.3518,0.2268,0.0574",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.239,"urn:cite:hmt:vaimg.VA107VN-0610@0.1792,0.3986,0.238,0.1319",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.240,"urn:cite:hmt:vaimg.VA107VN-0610@0.192,0.5032,0.726,0.3388",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.241,"urn:cite:hmt:vaimg.VA107VN-0610@0.2156,0.7885,0.68,0.0667",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.242,"urn:cite:hmt:vaimg.VA107VN-0610@0.2168,0.8159,0.6712,0.0589",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.243,"urn:cite:hmt:vaimg.VA107VN-0610@0.2116,0.8279,0.6816,0.0769",urn:cite:hmt:msA.msA-107v
urn:cts:greekLit:tlg5026.msA:8.247,"urn:cite:hmt:vaimg.VA108RN-0280@0.1943,0.1129,0.6364,0.0437",urn:cite:hmt:msA.msA-108r
urn:cts:greekLit:tlg5026.msA:8.248,"urn:cite:hmt:vaimg.VA108RN-0280@0.2002,0.1367,0.6342,0.0619",urn:cite:hmt:msA.msA-108r
urn:cts:greekLit:tlg5026.msA:8.249,"urn:cite:hmt:vaimg.VA108RN-0280@0.2852,0.1771,0.5345,0.0525",urn:cite:hmt:msA.msA-108r
urn:cts:greekLit:tlg5026.msA:8.250,"urn:cite:hmt:vaimg.VA108RN-0280@0.6146,0.4485,0.2223,0.1109",urn:cite:hmt:msA.msA-108r
urn:cts:greekLit:tlg5026.msA:8.251,"urn:cite:hmt:vaimg.VA108RN-0280@0.6096,0.5519,0.2358,0.084",urn:cite:hmt:msA.msA-108r
urn:cts:greekLit:tlg5026.msA:8.252,"urn:cite:hmt:vaimg.VA108RN-0280@0.6196,0.6302,0.2267,0.04",urn:cite:hmt:msA.msA-108r
